SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,18919 4th Dr SE,Bothell,WA,98012,749950,4,2.5,Bothell,2694,10454,2012,1,278,25,Active,April-21-2018 01:00 PM,April-21-2018 04:00 PM,http://www.redfin.com/WA/Bothell/18919-4th-Dr-SE-98012/home/45390824,NWMLS,1274257,N,Y,47.826072,-122.226171
PAST SALE,March-26-2012,Townhouse,1800 Mill Creek Rd Unit 30-B,Mill Creek,WA,98012,400000,2,2.5,Mill Creek,1244,14810,1988,1,322,337,Pending,,,http://www.redfin.com/WA/Mill-Creek/1800-Mill-Creek-Rd-98012/unit-30B/home/2816217,NWMLS,1274355,N,Y,47.850259,-122.211152
MLS Listing,,Townhouse,17818 20th Ave SE #38,Bothell,WA,98012,529950,4,3.0,Bothell,2902,2760,2007,1,183,41,Active,April-21-2018 01:00 PM,April-21-2018 04:00 PM,http://www.redfin.com/WA/Bothell/17818-20th-Ave-SE-98012/unit-38/home/11884041,NWMLS,1277146,N,Y,47.8359071,-122.2063313
MLS Listing,,Single Family Residential,17409 42nd Ave SE,Bothell,WA,98012,750000,4,2.25,Mill Creek,2565,4000,2015,1,292,35,Active,April-21-2018 01:00 PM,April-21-2018 04:00 PM,http://www.redfin.com/WA/Bothell/17409-42nd-Ave-SE-98012/home/62383468,NWMLS,1275672,N,Y,47.8395374,-122.175677
MLS Listing,,Single Family Residential,2312 177th St SE,Bothell,WA,98012,555950,4,2.25,Mays Pond,1922,7841,1976,1,289,28,Active,April-21-2018 01:00 PM,April-21-2018 04:00 PM,http://www.redfin.com/WA/Bothell/2312-177th-St-SE-98012/home/2677492,NWMLS,1275067,N,Y,47.8371296,-122.2013338
MLS Listing,,Single Family Residential,5011 156th St SE,Bothell,WA,98012,850000,3,4.0,Mill Creek,2920,54450,1984,1,291,,Active,April-21-2018 01:00 PM,April-21-2018 04:00 PM,http://www.redfin.com/WA/Bothell/5011-156th-St-SE-98012/home/2465855,NWMLS,1270900,N,Y,47.8566871,-122.1649417
MLS Listing,,Single Family Residential,918 148th Lane SE,Mill Creek,WA,98012,495000,2,2.5,Mill Creek,1496,1307,2007,1,331,128,Active,April-21-2018 01:00 PM,April-21-2018 04:00 PM,http://www.redfin.com/WA/Mill-Creek/918-148th-Ln-SE-98012/home/12490692,NWMLS,1275427,N,Y,47.8627855,-122.2197377
MLS Listing,,Single Family Residential,18603 33rd Ave SE,Bothell,WA,98012,765000,5,2.5,North Creek,2539,5227,2003,2,301,29,Active,April-21-2018 12:00 PM,April-21-2018 05:00 PM,http://www.redfin.com/WA/Bothell/18603-33rd-Ave-SE-98012/home/2907040,NWMLS,1275738,N,Y,47.828467,-122.1888105
MLS Listing,,Townhouse,16518 2nd Dr SE,Bothell,WA,98012,479000,3,2.5,Mill Creek,1818,2178,2012,2,263,153,Active,April-21-2018 11:00 AM,April-21-2018 02:00 PM,http://www.redfin.com/WA/Bothell/16518-2nd-Dr-SE-98012/home/54808023,NWMLS,1276252,N,Y,47.847944,-122.2295511
MLS Listing,,Single Family Residential,3023 182nd Place SE,Bothell,WA,98012,847900,4,2.5,Bothell,3221,4355,2011,2,263,49,Active,April-21-2018 01:00 PM,April-21-2018 04:00 PM,http://www.redfin.com/WA/Bothell/3023-182nd-Pl-SE-98012/home/33902083,NWMLS,1263123,N,Y,47.8326217,-122.1913159
PAST SALE,,Single Family Residential,17909 41st Dr SE #25,Bothell,WA,98012,631235,3,2.5,Bothell,2050,3867,2018,2,308,96,Pending,,,http://www.redfin.com/WA/Bothell/17909-41st-Dr-SE-98012/unit-25/home/145352866,NWMLS,1276688,N,Y,47.8502585,-122.1768566
MLS Listing,,Single Family Residential,16229 41st Dr SE,Bothell,WA,98012,619900,4,2.5,North Creek,1930,3920,2011,2,321,50,Active,April-21-2018 01:00 PM,April-21-2018 04:00 PM,http://www.redfin.com/WA/Bothell/16229-41st-Dr-SE-98012/home/40603690,NWMLS,1263610,N,Y,47.8499661,-122.1766706
MLS Listing,,Single Family Residential,3609 183rd St SE #62,Bothell,WA,98012,595000,3,2.5,North Bothell,1732,2448,2008,2,344,107,Active,,,http://www.redfin.com/WA/Bothell/3609-183rd-St-SE-98012/unit-62/home/12176988,NWMLS,1276523,N,Y,47.8321742,-122.1846532
MLS Listing,,Townhouse,13400 Dumas Rd Unit N-3,Mill Creek,WA,98012,299950,2,1.75,Mill Creek,1086,,1997,2,276,309,Active,April-21-2018 02:00 PM,April-21-2018 04:00 PM,http://www.redfin.com/WA/Mill-Creek/13400-Dumas-Rd-98012/unit-N3/home/2869860,NWMLS,1276473,N,Y,47.8769371,-122.216853
MLS Listing,,Single Family Residential,17804 36th Ave SE,Bothell,WA,98012,730000,4,2.5,Bothell,2414,2799,2015,2,302,60,Active,April-21-2018 01:00 PM,April-21-2018 04:00 PM,http://www.redfin.com/WA/Bothell/17804-36th-Ave-SE-98012/unit-3019/home/59706593,NWMLS,1276398,N,Y,47.8363258,-122.1847004
MLS Listing,,Single Family Residential,2518 161st St SE,Mill Creek,WA,98012,665000,4,2.5,Mill Creek,2406,9583,1987,3,276,,Active,April-21-2018 12:00 PM,April-21-2018 03:00 PM,http://www.redfin.com/WA/Mill-Creek/2518-161st-St-SE-98012/home/2811099,NWMLS,1274929,N,Y,47.8520629,-122.1985137
PAST SALE,March-28-2016,Single Family Residential,3530 178th Place SE,Bothell,WA,98012,700000,3,2.5,Bothell,2326,2972,2016,4,301,57,Pending,,,http://www.redfin.com/WA/Bothell/3530-178th-Pl-SE-98012/unit-3013/home/59706583,NWMLS,1275337,N,Y,47.8355148,-122.1843781
MLS Listing,,Single Family Residential,14113 16th Ct SE,Mill Creek,WA,98012,799950,3,2.5,Mill Creek,3241,10890,1987,4,247,67,Active,April-21-2018 11:00 AM,April-21-2018 02:00 PM,http://www.redfin.com/WA/Mill-Creek/14113-16th-Ct-SE-98012/home/2809451,NWMLS,1275038,N,Y,47.8698398,-122.2102275
MLS Listing,,Single Family Residential,16506 Meridian Ave S,Bothell,WA,98012,579000,4,2.5,Mill Creek,2321,6534,2001,4,249,,Active,,,http://www.redfin.com/WA/Bothell/16506-Meridian-Ave-S-98012/home/2892770,NWMLS,1264720,N,Y,47.848494,-122.234242
MLS Listing,,Single Family Residential,17420 Clover Rd,Bothell,WA,98012,475000,3,2.0,Bothell,1000,14375,1970,6,475,,Active,,,http://www.redfin.com/WA/Bothell/17420-Clover-Rd-98012/home/2647347,NWMLS,1274467,N,Y,47.8396974,-122.232337
PAST SALE,,Townhouse,1325 Seattle Hill Rd Unit G1,Bothell,WA,98012,624900,4,3.5,Mill Creek,2318,2608,2018,7,270,121,Pending,,,http://www.redfin.com/WA/Bothell/1325-Seattle-Hill-Rd-98012/unit-G1/home/145314387,NWMLS,1273709,N,Y,47.8450585,-122.2147021
MLS Listing,,Single Family Residential,123 178th St SW #13,Bothell,WA,98012,799950,5,3.0,Bothell,2825,4181,2018,7,283,128,Active,,,http://www.redfin.com/WA/Bothell/123-178th-Pl-SE-98012/unit-13/home/145312428,NWMLS,1274125,N,Y,47.835732,-122.1850121
PAST SALE,August-15-2006,Single Family Residential,17715 Brook Blvd,Bothell,WA,98012,475000,4,1.75,Bothell,1439,8276,1972,7,330,29,Pending,,,http://www.redfin.com/WA/Bothell/17715-Brook-Blvd-98012/home/2677456,NWMLS,1273667,N,Y,47.8368532,-122.2042377
PAST SALE,October-18-2016,Condo/Co-op,20320 Bothell Everett Hwy Unit D101,Bothell,WA,98012,265000,2,2.0,Thrashers Corner,984,,1986,8,269,406,Pending,,,http://www.redfin.com/WA/Bothell/20320-Bothell-Everett-Hwy-98012/unit-D101/home/2902958,NWMLS,1268991,N,Y,47.813465,-122.210683
PAST SALE,June-26-2015,Single Family Residential,3317 135th Place SE #109,Mill Creek,WA,98012,585000,4,3.0,Mill Creek,2412,3500,2005,8,243,37,Pending,,,http://www.redfin.com/WA/Mill-Creek/3317-135th-Pl-SE-98012/unit-109/home/3034355,NWMLS,1273861,N,Y,47.8747512,-122.1874141
PAST SALE,September-29-2005,Condo/Co-op,2201 192nd St SE Unit R205,Bothell,WA,98012,284000,2,1.75,North Bothell,966,379380,2000,8,294,277,Pending,,,http://www.redfin.com/WA/Bothell/2201-192nd-St-SE-98012/unit-R205/home/2866574,NWMLS,1267579,N,Y,47.82636,-122.2032819
